time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-15 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-15 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,469.489990234375,106.0,0.0
2023-12-18 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-18 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.9800109863281,54.0,0.0
2023-12-19 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.5299987792969,26.0,0.0
2023-12-20 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,473.9599914550781,13.0,0.0
2023-12-21 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-21 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.3299865722656,7.0,0.0
2023-12-22 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,473.8599853515625,3.0,0.0
2023-12-26 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-26 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.07000732421875,2.0,0.0
2023-12-27 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-27 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.44000244140625,1.0,0.0
